,address,categories,id,lat,long,name,orig_add,rating,review_count
0,615 Manhattan Ave,"[Category(name=u'Beer Bar', alias=u'beerbar')]",tørst-brooklyn,40.7235679,-73.95074649,TØRST,619 MANHATTAN AVE BROOKLYN 11222,4.5,259
1,1305 86th St,"[Category(name=u'Music Venues', alias=u'musicvenues')]",knights-of-columbus-brooklyn-3,40.61401456,-74.01375258,Knights of Columbus,1305 86TH STREET BROOKLYN 11228,4.5,3
2,151 Montague St,"[Category(name=u'Italian', alias=u'italian')]",caffe-buon-gusto-brooklyn-4,40.69459573,-73.99337435,Caffe Buon Gusto,151 MONTAGUE STREET BROOKLYN 11201,3.0,101
3,156 Court St,"[Category(name=u'Thai', alias=u'thai')]",lemongrass-grill-brooklyn-2,40.68867198,-73.99293116,Lemongrass Grill,154 COURT STREET BROOKLYN 11201,3.5,269
4,84 Montague St,"[Category(name=u'American (New)', alias=u'newamerican'), Category(name=u'Bars', alias=u'bars'), Category(name=u'Coffee & Tea', alias=u'coffee')]",heights-cafe-brooklyn,40.69518105,-73.9959245,Heights Cafe,84 MONTAGUE STREET BROOKLYN 11201,3.0,221
5,330 Hicks St,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Middle Eastern', alias=u'mideastern'), Category(name=u'Barbeque', alias=u'bbq')]",fatoosh-pizza-and-bbq-brooklyn,40.69129655,-73.99778604,Fatoosh Pizza & BBQ,73 ATLANTIC AVE BROOKLYN 11201,4.0,74
6,"Brooklyn Flea Market, Smorgasburg, and Summerstage","[Category(name=u'Food Stands', alias=u'foodstands')]",chonchos-tacos-brooklyn-2,40.65447398,-74.01080185,Choncho's Tacos,38 40 HENRY STREET BROOKLYN 11201,3.0,15
7,220 Cadman Plz W,"[Category(name=u'American (New)', alias=u'newamerican'), Category(name=u'Seafood', alias=u'seafood'), Category(name=u'Diners', alias=u'diners')]",park-plaza-restaurant-brooklyn,40.69760647,-73.99155152,Park Plaza Restaurant,220 CADMAN PLAZA WEST BROOKLYN 11201,3.0,144
8,44 Henry St,"[Category(name=u'American (New)', alias=u'newamerican'), Category(name=u'Bars', alias=u'bars'), Category(name=u'Seafood', alias=u'seafood')]",henrys-end-restaurant-brooklyn-2,40.69961592,-73.99204419,Henry's End Restaurant,44 HENRY STREET BROOKLYN 11201,4.0,256
9,214 Hicks St,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Italian', alias=u'italian')]",dellaroccos-brick-oven-pizza-brooklyn,40.69522784,-73.99609359,Dellarocco's Brick Oven Pizza,80 MONTAGUE STREET BROOKLYN 11201,4.0,164
10,159 Ave O,"[Category(name=u'Italian', alias=u'italian')]",la-palina-restaurant-brooklyn,40.61081906,-73.97886027,La Palina Restaurant,159 161 AVE O BROOKLYN 11204,4.0,103
11,242 Dekalb Ave,"[Category(name=u'Dive Bars', alias=u'divebars')]",alibi-brooklyn,40.68942558,-73.96945962,Alibi,242 DEKALB AVENUE BROOKLYN 11205,3.5,88
12,459 Myrtle Ave,"[Category(name=u'Music Venues', alias=u'musicvenues'), Category(name=u'Soul Food', alias=u'soulfood')]",five-spot-brooklyn,40.69339568,-73.9670099,Five Spot,459 MYRTLE AVE BROOKLYN 11205,2.0,141
13,195 Dekalb Ave,"[Category(name=u'African', alias=u'african')]",madiba-restaurant-brooklyn,40.68962284,-73.97179048,Madiba Restaurant,195 DEKALB AVE BROOKLYN 11205,3.5,584
14,229 Dekalb Ave,"[Category(name=u'American (New)', alias=u'newamerican'), Category(name=u'Desserts', alias=u'desserts')]",the-general-greene-brooklyn-2,40.689562,-73.97015791,The General Greene,229 DEKALB AVENUE BROOKLYN 11205,3.0,432
15,2870 Linden Blvd,"[Category(name=u'American (Traditional)', alias=u'tradamerican')]",lindenwood-diner-and-restaurant-brooklyn,40.66990226,-73.85811014,Lindenwood Diner & Restaurant,2870 LINDEN BLVD BROOKLYN 11208,4.0,129
16,8424 3rd Ave,"[Category(name=u'Italian', alias=u'italian')]",areo-ristorante-brooklyn,40.62487442,-74.03056402,Areo Ristorante,8422 8420 3RD AVENUE BROOKLYN 11209,3.5,117
17,7717 3rd Ave,"[Category(name=u'American (New)', alias=u'newamerican'), Category(name=u'Italian', alias=u'italian')]",greenhouse-cafe-brooklyn,40.62985553,-74.02844569,Greenhouse Cafe,7721 3RD AVE BROOKLYN 11209,3.0,72
18,9404 4th Ave,"[Category(name=u'Steakhouses', alias=u'steak')]",hunters-steak-and-ale-house-brooklyn,40.61666152,-74.03093593,Hunters Steak & Ale House,9404 4TH AVENUE BROOKLYN 11209,3.5,53
19,8613 3rd Ave,"[Category(name=u'Sandwiches', alias=u'sandwiches'), Category(name=u'Grocery', alias=u'grocery'), Category(name=u'Cheese Shops', alias=u'cheese')]",a-l-c-italian-grocery-new-york-2,40.62334951,-74.03103636,A.L.C. Italian Grocery,8611 3RD AVENUE BROOKLYN 11209,4.5,52
20,10018 4th Ave,"[Category(name=u'Italian', alias=u'italian')]",positano-restaurant-brooklyn,40.61257998,-74.03454832,Positano Restaurant,343 101ST STREET BROOKLYN 11209,4.5,53
21,8618 3rd Ave,"[Category(name=u'Mexican', alias=u'mexican'), Category(name=u'Tex-Mex', alias=u'tex-mex')]",hobrah-a-taco-joint-brooklyn,40.62331376,-74.03120265,Ho'Brah a taco joint,8620 3RD AVENUE BROOKLYN 11209,4.0,514
22,7506 3rd Ave,"[Category(name=u'Diners', alias=u'diners'), Category(name=u'American (Traditional)', alias=u'tradamerican')]",lighthouse-cafe-brooklyn,40.6313995,-74.0278856,Lighthouse Cafe,7508 3RD AVENUE BROOKLYN 11209,3.5,36
23,8902 3rd Ave,"[Category(name=u'Pubs', alias=u'pubs'), Category(name=u'American (Traditional)', alias=u'tradamerican')]",o-sullivans-bar-and-grill-brooklyn,40.62133308,-74.03202195,O'Sullivan's Bar & Grill,8902 3RD AVENUE BROOKLYN 11209,4.5,29
24,9224 3rd Ave,"[Category(name=u'Lounges', alias=u'lounges'), Category(name=u'Wine Bars', alias=u'wine_bars'), Category(name=u'American (Traditional)', alias=u'tradamerican')]",delias-lounge-and-restaurant-brooklyn,40.61879147,-74.03303318,Delia's Lounge & Restaurant,9224 3RD AVE BROOKLYN 11209,4.0,90
25,7221 5th Ave,"[Category(name=u'Sandwiches', alias=u'sandwiches'), Category(name=u'Breakfast & Brunch', alias=u'breakfast_brunch'), Category(name=u'Bagels', alias=u'bagels')]",bagel-villa-brooklyn,40.63156965,-74.02171802,Bagel Villa,7215 5TH AVENUE BROOKLYN 11209,4.0,29
26,9201 Fourth Ave.,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'American (Traditional)', alias=u'tradamerican'), Category(name=u'Gluten-Free', alias=u'gluten_free')]",uno-pizzeria-and-grill-brooklyn,40.61830114,-74.03011771,Uno Pizzeria & Grill,9201 4TH AVENUE BROOKLYN 11209,3.0,118
27,8822 3rd Ave,"[Category(name=u'American (Traditional)', alias=u'tradamerican'), Category(name=u'Steakhouses', alias=u'steak'), Category(name=u'Seafood', alias=u'seafood')]",chadwicks-restaurant-brooklyn,40.62189039,-74.03179237,Chadwicks Restaurant,8822 8824 3RD AVENUE BROOKLYN 11209,4.0,149
28,7612 3rd Ave,"[Category(name=u'Cafes', alias=u'cafes'), Category(name=u'Cocktail Bars', alias=u'cocktailbars'), Category(name=u'Venues & Event Spaces', alias=u'venues')]",omonia-cafe-brooklyn-3,40.61832551,-74.0059903,Omonia Cafe,7612 14 3RD AVENUE BROOKLYN 11209,3.0,188
29,7410 3rd Ave,"[Category(name=u'Spanish', alias=u'spanish'), Category(name=u'Basque', alias=u'basque')]",sanchos-brooklyn,40.63207869,-74.02761546,Sancho's,7410 3RD AVENUE BROOKLYN 11209,3.5,73
30,7217 3rd Ave,"[Category(name=u'Burgers', alias=u'burgers')]",the-burger-bistro-brooklyn,40.63334817,-74.02694324,Burger Bistro,7221 3RD AVENUE BROOKLYN 11209,4.0,590
31,7525 5th Ave,"[Category(name=u'Chicken Wings', alias=u'chicken_wings'), Category(name=u'Beer, Wine & Spirits', alias=u'beer_and_wine')]",bean-post-pub-brooklyn,40.6292662,-74.02264763,Bean Post Pub,7525 5TH AVE BROOKLYN 11209,3.5,39
