LicenseSerialNumber,LicenseTypeName,LicenseClassCode,LicenseTypeCode,AgencyZoneOfficeName,AgencyZoneOfficeNumber,CountyNameLicensee,PremisesName,DBA,Address1,Address2,City,State,Zip,LicenseCertificateNumber,LicenseOriginalIssueDate,LicenseEffectiveDate,LicenseExpirationDate,Latitude,Longitude,Location,add
1010798,CLUB LIQUOR,243,CL,New York City,1,KINGS,"HEIGHTS CASINO INC,THE",,75 MONTAGUE ST,,BROOKLYN,NY,11201,845465,,3/5/2015,2/28/2017,40.69540987,-73.99632905,"(40.69540987, -73.99632905)",75 MONTAGUE ST   BROOKLYN   11201
1010803,CLUB LIQUOR,243,CL,New York City,1,KINGS,DONGANITE CORP OWNED BY,THOMAS DONGAN COUNCIL 125 C K,8122 5TH AVE,81ST AND 82ND STS,BROOKLYN,NY,11209,851182,,9/1/2015,8/31/2017,40.6248942,-74.02458471,"(40.6248942, -74.02458471)",8122 5TH AVE   BROOKLYN   11209
1010805,CLUB LIQUOR,243,CL,New York City,1,KINGS,"BAY RIDGE POST OF THE,THE",AMERICAN LEGION ASSOC INC.,343 345 78TH STREET,,BROOKLYN,NY,11209,844148,3/1/1956,3/1/2015,2/28/2017,40.62899001,-74.0271694,"(40.62899001, -74.0271694)",343 345 78TH STREET   BROOKLYN   11209
1010806,CLUB LIQUOR,243,CL,New York City,1,KINGS,BROOKLYN COLLEGE STUDENT SERVICES CORP,,E 27TH ST & CAMPUS RD,CAMPUS ROAD,BROOKLYN,NY,11210,803607,,3/18/2014,2/29/2016,40.63235603,-73.95084213,"(40.63235603, -73.95084213)",E 27TH ST & CAMPUS RD   BROOKLYN   11210
1010807,CLUB LIQUOR,243,CL,New York City,1,KINGS,POLONIA DEMOCRATIC CLUB INC,,140 GRAND ST,,BROOKLYN,NY,11249,845320,,3/3/2015,2/28/2017,40.71488423,-73.96232113,"(40.71488423, -73.96232113)",140 GRAND ST   BROOKLYN   11249
1010809,CLUB LIQUOR,243,CL,New York City,1,KINGS,BEN MA CHREE INC,,1934 SHORE PKWY,,BROOKLYN,NY,11214,845181,,3/1/2015,2/28/2017,40.58861262,-73.99290912,"(40.58861262, -73.99290912)",1934 SHORE PKWY   BROOKLYN   11214
1010810,CLUB LIQUOR,243,CL,New York City,1,KINGS,EXCELSIOR YACHT CLUB,,1902 SHORE PKWY,,BROOKLYN,NY,11214,844552,,3/1/2015,2/28/2017,40.58949455,-73.99334001,"(40.58949455, -73.99334001)",1902 SHORE PKWY   BROOKLYN   11214
1010811,CLUB LIQUOR,243,CL,New York City,1,KINGS,KINGS COUNTY LODGE 168,LOYAL ORD MOOSE BKN N Y INC,7709 18TH AVE,,BROOKLYN,NY,11214,844681,,3/1/2015,2/28/2017,40.61210971,-73.99718017,"(40.61210971, -73.99718017)",7709 18TH AVE   BROOKLYN   11214
1010812,CLUB LIQUOR,243,CL,New York City,1,KINGS,1380 MC FADDEN BROS POST,AMERICAN LEGION,290 PROSPECT PARK WEST,,BROOKLYN,NY,11215,844456,,3/1/2015,2/28/2017,40.65775477,-73.98290243,"(40.65775477, -73.98290243)",290 PROSPECT PARK WEST   BROOKLYN   11215
1010813,CLUB LIQUOR,243,CL,New York City,1,KINGS,MICHAEL A RAWLEY JR,POST 1636 AMERICAN LEGION,193 9TH STREET,,BROOKLYN,NY,11215,844569,11/21/1963,3/1/2015,2/28/2017,40.67132324,-73.99059339,"(40.67132324, -73.99059339)",193 9TH STREET   BROOKLYN   11215
1010814,CLUB LIQUOR,243,CL,New York City,1,KINGS,MONTAUK CLUB,,25 8TH AVENUE,,BROOKLYN,NY,11215,844720,,3/1/2015,2/28/2017,40.6730489,-73.99241722,"(40.6730489, -73.99241722)",25 8TH AVENUE   BROOKLYN   11215
1010815,CLUB LIQUOR,243,CL,New York City,1,KINGS,PROSPECTUS INC,KNIGHTS OF COLUMBUS #4783,1511 10TH AVENUE,,BROOKLYN,NY,11215,853102,,9/4/2015,2/28/2017,40.65927442,-73.97791466,"(40.65927442, -73.97791466)",1511 10TH AVENUE   BROOKLYN   11215
