review,rating,lat,long
216,3.5,40.71614111,-73.99806418
82,4,40.71091594,-73.95090981
64,4,40.7132776,-73.95842231
1025,4,40.73149386,-74.00306123
50,3,40.74247319,-73.99178257
111,4.5,40.6757567,-74.01696617
129,4,40.73096,-74.00071
536,3.5,40.74552941,-73.97816752
1124,3.5,40.72936061,-73.9893433
42,3.5,40.73313541,-74.01007385
191,4,40.74238185,-73.98949693
491,4,40.73207,-73.98813
112,4,40.71551003,-74.00929861
783,4,40.75007997,-73.98341284
268,4,40.71885,-73.99132
167,3.5,40.76051276,-73.98963479
65,3.5,40.58654544,-73.95227627
123,4,40.75740871,-73.96871757
148,4,40.66731473,-73.98776406
61,4,40.68147353,-73.95730047
266,4,40.78085162,-73.94953537
413,4,40.72914182,-73.98119068
468,3.5,40.72675921,-73.98891465
462,3.5,40.70350367,-74.01153665
8,4,40.63880876,-74.00602413
3809,3.5,40.70249257,-73.99313504
44,3.5,40.70978652,-74.00626835
68,4,40.76136806,-73.97587117
386,4,40.74221,-73.99044
159,3.5,40.80339079,-73.95610565
313,4,40.73366626,-73.98808504
16,3,40.61741783,-74.03048589
678,3,40.76356493,-73.97132678
68,3.5,40.78521702,-73.9556839
16,3.5,40.86586225,-73.92763784
1291,4,40.72443106,-73.98355191
430,4,40.73153236,-74.00160326
38,4,40.71317878,-73.9581607
48,4.5,40.73133,-73.95935
37,3.5,40.75859749,-73.96378483
89,4,40.62058076,-73.9173649
368,4,40.74884926,-74.00339027
252,3,40.59982733,-73.99035721
76,4,40.66186615,-73.99300041
163,3.5,40.75641617,-73.9840039
18,4.5,40.72592,-74.00912
117,3,40.71716244,-74.01061984
8,4,40.61266713,-73.94416048
76,3.5,40.76288288,-73.97169473
1,4,40.69251425,-73.92747584
334,4,40.72973224,-74.00431029
5,3,40.66348227,-73.95870171
71,3.5,40.79429576,-73.93984269
35,4,40.6671647,-73.98806058
51,4,40.74373555,-73.97354356
491,2.5,40.75663061,-73.9686636
176,3,40.60978244,-74.00670672
9,4.5,40.7602,-73.99547
113,4.5,40.71919755,-73.98548605
147,4,40.68662376,-73.96655795
89,3.5,40.68411131,-73.99231661
36,3.5,40.76870291,-73.95540387
35,4,40.76205993,-73.96600323
19,3,40.86191368,-73.92504436
680,3.5,40.71537098,-73.99870405
9,2,40.76151437,-73.98398825
551,4,40.68475199,-73.99188349
6,3,40.72657728,-73.94809268
1145,4,40.72613004,-73.98537973
88,4,40.75492818,-73.96671836
256,3,40.72248096,-74.00373989
535,4,40.66333161,-73.98462869
337,4,40.67927277,-73.9817117
42,3.5,40.72082,-73.99509
57,4,40.6195907,-73.91610509
1682,4,40.74429917,-73.98765339
97,3,40.78676689,-73.97575289
3,2.5,40.71351,-73.95138
243,3.5,40.74234364,-73.99700717
35,4,40.62263569,-74.02820281
135,3.5,40.69872465,-73.99240053
1135,4,40.75615655,-73.98496264
187,4,40.72691,-73.97995
257,3.5,40.73493273,-73.99322051
439,4,40.72723714,-73.98446443
1,3,40.80665595,-73.96465198
158,3.5,40.71757442,-73.96347529
268,3.5,40.66573682,-73.97906449
52,3.5,40.86554659,-73.92728942
303,4,40.68338376,-73.96642032
84,4,40.70747,-73.92304
48,3.5,40.71734958,-73.99530581
171,4,40.74795438,-73.9856276
179,3.5,40.8681,-73.92041
214,4,40.76052,-73.9903
163,3.5,40.75813296,-73.96613343
79,4,40.68332863,-73.96615754
363,4,40.73474127,-73.98825609
64,4,40.77650897,-73.95245285
213,3,40.71645,-74.00006
1169,3.5,40.72896634,-73.98840997
232,4,40.65889728,-73.98174873
26,3,40.7517818,-73.98090703
162,3.5,40.81091,-73.95845
258,4,40.79019,-73.94313
214,4,40.71775272,-73.99523788
105,3.5,40.78455372,-73.95599854
99,3.5,40.78508606,-73.95577794
326,4,40.72063981,-74.00505268
132,4,40.81714,-73.94031
118,3.5,40.66334847,-73.9813047
1,5,40.71944,-73.95625
188,4,40.77663119,-73.9510573
2121,3.5,40.71817,-73.95994
374,3.5,40.66529442,-73.98961749
201,4,40.72668394,-73.98875946
50,4.5,40.67904522,-73.97381061
247,3,40.71909,-73.9586
2,3.5,40.62856316,-74.01675191
533,4,40.76555841,-73.98004159
72,3,40.76247197,-73.97424277
1,4,40.72339,-73.98553
134,3.5,40.62137347,-74.02886305
1524,4,40.77202902,-73.95598824
117,3.5,40.73292478,-74.0039476
147,4.5,40.73767288,-74.00198614
352,3.5,40.76123409,-73.99420478
86,4,40.77542218,-73.95199679
86,4,40.77546066,-73.95208772
105,3.5,40.69196979,-73.95980414
60,4,40.72594851,-73.98968004
253,2.5,40.74382978,-74.00612607
135,3,40.63362543,-74.00659392
365,4,40.72872,-74.00084
365,4,40.72893717,-74.0007208
147,3.5,40.58298058,-73.95538564
106,3.5,40.80316839,-73.96379293
64,3,40.80250758,-73.96791248
64,3,40.80266,-73.96787
115,4,40.72826058,-73.98152111
637,3,40.76472,-73.99139
637,3,40.76484015,-73.99157269
291,4,40.72999146,-74.00047908
136,3.5,40.66436759,-73.98027137
3,5,40.69472468,-73.99405624
486,4,40.73655192,-73.99280367
14,3.5,40.80128,-73.94228
407,3,40.78098799,-73.9493468
172,3.5,40.85126604,-73.94009674
514,4,40.72866,-73.98857
514,4,40.72867753,-73.98786543
